Task,GraspType,Object,Reponses,Instruction
ObjectSpecific,Lateral,Acorn,3,How would you crack an acorn?
ObjectSpecific,MediumWrap,Acorn,5,How would you crack an acorn?
ObjectSpecific,Tripod,Acorn,10,How would you crack an acorn?
ObjectSpecific,Writing,Acorn,2,How would you crack an acorn?
ObjectSpecific,Lateral,Apple,1,How would you eat an apple?
ObjectSpecific,MediumWrap,Apple,16,How would you eat an apple?
ObjectSpecific,Tripod,Apple,2,How would you eat an apple?
ObjectSpecific,Writing,Apple,1,How would you eat an apple?
ObjectSpecific,Lateral,Apricot,1,How would you eat an apricot?
ObjectSpecific,MediumWrap,Apricot,18,How would you eat an apricot?
ObjectSpecific,Tripod,Apricot,0,How would you eat an apricot?
ObjectSpecific,Writing,Apricot,1,How would you eat an apricot?
ObjectSpecific,Lateral,Ballpoint pen,2,How would you write with a ballpoint pen?
ObjectSpecific,MediumWrap,Ballpoint pen,0,How would you write with a ballpoint pen?
ObjectSpecific,Tripod,Ballpoint pen,3,How would you write with a ballpoint pen?
ObjectSpecific,Writing,Ballpoint pen,14,How would you write with a ballpoint pen?
ObjectSpecific,Lateral,Banana,4,How would you eat a banana?
ObjectSpecific,MediumWrap,Banana,13,How would you eat a banana?
ObjectSpecific,Tripod,Banana,3,How would you eat a banana?
ObjectSpecific,Writing,Banana,0,How would you eat a banana?
ObjectSpecific,Lateral,Banknote,1,How would you insert a banknote into an ATM?
ObjectSpecific,MediumWrap,Banknote,0,How would you insert a banknote into an ATM?
ObjectSpecific,Tripod,Banknote,0,How would you insert a banknote into an ATM?
ObjectSpecific,Writing,Banknote,18,How would you insert a banknote into an ATM?
ObjectSpecific,Lateral,Barrette,1,How would you fixate your hair with a barrette?
ObjectSpecific,MediumWrap,Barrette,0,How would you fixate your hair with a barrette?
ObjectSpecific,Tripod,Barrette,10,How would you fixate your hair with a barrette?
ObjectSpecific,Writing,Barrette,9,How would you fixate your hair with a barrette?
ObjectSpecific,Lateral,Battery,0,How would you insert a battery into an electrical device?
ObjectSpecific,MediumWrap,Battery,1,How would you insert a battery into an electrical device?
ObjectSpecific,Tripod,Battery,12,How would you insert a battery into an electrical device?
ObjectSpecific,Writing,Battery,7,How would you insert a battery into an electrical device?
ObjectSpecific,Lateral,Bead,0,How would you place a bead inside a box?
ObjectSpecific,MediumWrap,Bead,0,How would you place a bead inside a box?
